row_index,name_ko,name_ja,name_en,category,affiliation,source_store,source_url,source_url_is_generic,source_url_is_product_detail,strategy,provider_status,automation_safety,priority,query,search_url
920,치이카와 러버 스트랩 (치이카와),ちいかわ ラバーストラップ (ちいかわ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ ラバーストラップ (ちいかわ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%29
921,치이카와 러버 스트랩 (하치와레),ちいかわ ラバーストラップ (ハチワレ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ ラバーストラップ (ハチワレ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%83%8F%E3%83%81%E3%83%AF%E3%83%AC%29
922,치이카와 러버 스트랩 (우사기),ちいかわ ラバーストラップ (うさぎ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ ラバーストラップ (うさぎ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%81%86%E3%81%95%E3%81%8E%29
923,치이카와 모치푸니 러버 스트랩 (모몽가),ちいかわ もちぷにラバーストラップ (モモンガ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ もちぷにラバーストラップ (モモンガ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%82%E3%81%A1%E3%81%B7%E3%81%AB%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%83%A2%E3%83%A2%E3%83%B3%E3%82%AC%29
924,치이카와 모치푸니 러버 스트랩 (쿠리만쥬),ちいかわ もちぷにラバーストラップ (栗まんじゅう),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ もちぷにラバーストラップ (栗まんじゅう),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%82%E3%81%A1%E3%81%B7%E3%81%AB%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E6%A0%97%E3%81%BE%E3%82%93%E3%81%98%E3%82%85%E3%81%86%29
925,치이카와 카라비너 러버 스트랩 (치이카와),ちいかわ カラビナ付きラバーストラップ (ちいかわ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ カラビナ付きラバーストラップ (ちいかわ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%AB%E3%83%A9%E3%83%93%E3%83%8A%E4%BB%98%E3%81%8D%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%29
926,치이카와 카라비너 러버 스트랩 (하치와레),ちいかわ カラビナ付きラバーストラップ (ハチワレ),,키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ カラビナ付きラバーストラップ (ハチワレ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%AB%E3%83%A9%E3%83%93%E3%83%8A%E4%BB%98%E3%81%8D%E3%83%A9%E3%83%90%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%20%28%E3%83%8F%E3%83%81%E3%83%AF%E3%83%AC%29
927,치이카와 아크릴 스탠드 (치이카와),ちいかわ アクリルスタンド (ちいかわ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ アクリルスタンド (ちいかわ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%28%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%29
928,치이카와 아크릴 스탠드 (하치와레),ちいかわ アクリルスタンド (ハチワレ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ アクリルスタンド (ハチワレ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%28%E3%83%8F%E3%83%81%E3%83%AF%E3%83%AC%29
929,치이카와 아크릴 스탠드 (우사기),ちいかわ アクリルスタンド (うさぎ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ アクリルスタンド (うさぎ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%28%E3%81%86%E3%81%95%E3%81%8E%29
930,치이카와 빅 아크릴 스탠드 (치이카와),ちいかわ ビッグアクリルスタンド (ちいかわ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ ビッグアクリルスタンド (ちいかわ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%83%93%E3%83%83%E3%82%B0%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%28%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%29
931,치이카와 스탠드 미니 (모몽가),ちいかわ スタンドミニ (モモンガ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ スタンドミニ (モモンガ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%E3%83%9F%E3%83%8B%20%28%E3%83%A2%E3%83%A2%E3%83%B3%E3%82%AC%29
932,치이카와 트레이딩 아크릴 키홀더 (라부라부),ちいかわ トレーディングアクリルキーホルダー (らぶらぶシリーズ),,아크릴 키링,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ トレーディングアクリルキーホルダー (らぶらぶシリーズ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%83%88%E3%83%AC%E3%83%BC%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%20%28%E3%82%89%E3%81%B6%E3%82%89%E3%81%B6%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%29
933,치이카와 아크릴 피규어 (라부라부 시리즈),ちいかわ アクリルフィギュア (らぶらぶシリーズ),,아크릴 스탠드,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,ちいかわ アクリルフィギュア (らぶらぶシリーズ),https://www.enskyshop.com/products/list?name=%E3%81%A1%E3%81%84%E3%81%8B%E3%82%8F%20%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB%E3%83%95%E3%82%A3%E3%82%AE%E3%83%A5%E3%82%A2%20%28%E3%82%89%E3%81%B6%E3%82%89%E3%81%B6%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%29
963,쿠리만쥬 ご当地 마스코트 (센다이 즌다),くりまんじゅう ご当地マスコット (仙台 ずんだ),,마스코트,치이카와,엔스카이,,False,False,official_search,search_only,candidate_provider_script_required,10,くりまんじゅう ご当地マスコット (仙台 ずんだ),https://www.enskyshop.com/products/list?name=%E3%81%8F%E3%82%8A%E3%81%BE%E3%82%93%E3%81%98%E3%82%85%E3%81%86%20%E3%81%94%E5%BD%93%E5%9C%B0%E3%83%9E%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%20%28%E4%BB%99%E5%8F%B0%20%E3%81%9A%E3%82%93%E3%81%A0%29
1024,귀멸의 칼날 봉제 인형 (탄지로),,,인형,귀멸의 칼날,애니메이트,,False,False,official_search,search_only,candidate_provider_script_required,10,귀멸의 칼날 봉제 인형 (탄지로),https://www.animate-onlineshop.jp/products/list.php?mode=search&smt=%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%B4%89%EC%A0%9C%20%EC%9D%B8%ED%98%95%20%28%ED%83%84%EC%A7%80%EB%A1%9C%29
1025,귀멸의 칼날 봉제 인형 (네즈코),,,인형,귀멸의 칼날,애니메이트,,False,False,official_search,search_only,candidate_provider_script_required,10,귀멸의 칼날 봉제 인형 (네즈코),https://www.animate-onlineshop.jp/products/list.php?mode=search&smt=%EA%B7%80%EB%A9%B8%EC%9D%98%20%EC%B9%BC%EB%82%A0%20%EB%B4%89%EC%A0%9C%20%EC%9D%B8%ED%98%95%20%28%EB%84%A4%EC%A6%88%EC%BD%94%29
1031,원피스 봉제 인형 (토니토니 쵸파),,,인형,원피스,애니메이트,,False,False,official_search,search_only,candidate_provider_script_required,10,원피스 봉제 인형 (토니토니 쵸파),https://www.animate-onlineshop.jp/products/list.php?mode=search&smt=%EC%9B%90%ED%94%BC%EC%8A%A4%20%EB%B4%89%EC%A0%9C%20%EC%9D%B8%ED%98%95%20%28%ED%86%A0%EB%8B%88%ED%86%A0%EB%8B%88%20%EC%B5%B8%ED%8C%8C%29
