priority,classification,catalog_index,campaign_name,prize_rank,product_name,display_character_name,character_name,lineup_markers,expected_variant_count,same_prize_row_count,named_variant_row_count,source_url,recommended_action
3,generic_character_lineup_marker,13572,一番くじ 鬼滅の刃 ～受け継ぐ者～,H賞,名場面ステッカーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/kimetsu25,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,13806,一番くじ SPY×FAMILY-Care for another?-,E賞,食器アソート,기타,기타,アソート,,1,0,https://1kuji.com/products/spyfamily10,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,13807,一番くじ SPY×FAMILY-Care for another?-,F賞,タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/spyfamily10,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,13825,一番くじ 劇場版 SPY×FAMILY CODE: White,F賞,ステーショナリーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/spyfamily8,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,13834,一番くじ SPY×FAMILY -Embark on a mission-,E賞,メラミン食器アソート,기타,기타,アソート,,1,0,https://1kuji.com/products/spyfamily7,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,13865,一番くじ SPY×FAMILY -Extra Mission-,G賞,タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/spyfamily4,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14244,一番くじ NARUTO-ナルト- 疾風伝 伝説の三忍,E賞,ロングタオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/naruto5,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14350,一番くじ 星のカービィ Kirby Café PETIT,G賞,まるでお店のような ステーショナリーアソート PETIT,기타,기타,アソート,,1,0,https://1kuji.com/products/kirby24,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14612,一番くじ ハイキュー!!～歓喜の鼓動～,C賞,烏野高校タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/haikyu23,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14613,一番くじ ハイキュー!!～歓喜の鼓動～,D賞,青葉城西高校タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/haikyu23,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14614,一番くじ ハイキュー!!～歓喜の鼓動～,E賞,音駒高校タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/haikyu23,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,14615,一番くじ ハイキュー!!～歓喜の鼓動～,F賞,梟谷学園高校タオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/haikyu23,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15183,一番くじ ワンピース 試練のその先へ,H賞,ラバーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep95,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15206,一番くじ ワンピース ロジャー海賊団～伝説の海賊～,J賞,ラバーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep93,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15216,一番くじ ワンピース The Greatest Battle～偉大なる航路へ～,I賞,選べるアソート,기타,기타,アソート | 選べる,,1,0,https://1kuji.com/products/onep92,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15260,一番くじ ワンピース 伝説の英雄,E賞,巾着/アイマスクアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep89,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15277,一番くじ ワンピース 未来島エッグヘッド,K賞,クリアファイル＆ステッカーセット／フレークステッカーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep88,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15286,一番くじ ワンピース 白ひげ海賊団～オヤジと息子たち～,H賞,ラバーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep87,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15339,一番くじ ワンピース 新四皇,F賞,タオルアソートコレクション,기타,기타,アソート,,1,0,https://1kuji.com/products/onep83,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15342,一番くじ ワンピース 新四皇,I賞,ラバーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep83,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15668,一番くじ ワンピース メモリアルログ,E賞,選べる墨式食器,기타,기타,選べる,,1,0,https://1kuji.com/products/onep48,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15763,一番くじ ワンピース～麦わらの一味、航海の軌跡～,I賞,選べる文具～仲間の絆コレクション～,기타,기타,選べる,,1,0,https://1kuji.com/products/onep33,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15812,一番くじ ワンピース ヒストリーオブロー,I賞,選べるタオルアソート,기타,기타,アソート | 選べる,,1,0,https://1kuji.com/products/onep28,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15933,一番くじ ART OF Chopper 『ヴィンテージクリーチャーズ』,G賞,テーブルウェアアソート～カラーガラスver.～,기타,기타,アソート,,1,0,https://1kuji.com/products/cho_art,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,15946,一番くじ ワンピース GIRLS COLLECTION vol.2 ～The Strong Girls～,I賞,アクセサリーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/onep17,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,16289,一番くじ ドラゴンボール EX 孫悟空修業編,H賞,ステーショナリーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/db_ex10,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,16310,一番くじ ドラゴンボール Fantastic Adventure,G賞,ステーショナリーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/db_fa,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,16943,一番くじ 僕のヒーローアカデミア Let you down,F賞,ジャガードタオルアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/myhero36,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,16944,一番くじ 僕のヒーローアカデミア Let you down,G賞,選べるスマホリボン/ネックストラップアソート,기타,기타,アソート | 選べる,,1,0,https://1kuji.com/products/myhero36,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
3,generic_character_lineup_marker,17289,一番くじ 機動戦士Gundam GQuuuuuuX （ ジークアクス ） vol.2,F賞,ラバーアソート,기타,기타,アソート,,1,0,https://1kuji.com/products/gundam-gquuuuuux2,Lineup marker is attached to a generic character row; inspect official source for separate character/design variants.
